device_id	application_name
09135309-5ffc-4072-8d8c-1e7f49b45f00	启动器
09135309-5ffc-4072-8d8c-1e7f49b45f00	QQ
09135309-5ffc-4072-8d8c-1e7f49b45f00	AWARE
09135309-5ffc-4072-8d8c-1e7f49b45f00	酷管家
09135309-5ffc-4072-8d8c-1e7f49b45f00	Android 系统
09135309-5ffc-4072-8d8c-1e7f49b45f00	KeyguardTestActivity
09135309-5ffc-4072-8d8c-1e7f49b45f00	系统用户界面
09135309-5ffc-4072-8d8c-1e7f49b45f00	微信
09135309-5ffc-4072-8d8c-1e7f49b45f00	唯品会
09135309-5ffc-4072-8d8c-1e7f49b45f00	瀑布流
09135309-5ffc-4072-8d8c-1e7f49b45f00	优酷
09135309-5ffc-4072-8d8c-1e7f49b45f00	支付宝
09135309-5ffc-4072-8d8c-1e7f49b45f00	信息
09135309-5ffc-4072-8d8c-1e7f49b45f00	UC浏览器
09135309-5ffc-4072-8d8c-1e7f49b45f00	百度贴吧
09135309-5ffc-4072-8d8c-1e7f49b45f00	触宝电话
09135309-5ffc-4072-8d8c-1e7f49b45f00	设置
09135309-5ffc-4072-8d8c-1e7f49b45f00	InCallUI
09135309-5ffc-4072-8d8c-1e7f49b45f00	文件管理
